"Are you sure you want to do this?","Are you sure you want to do this?"
"Force Unlock","Force Unlock"
Class,Class
Add,Add
Expression,Expression
Template,Template
"Block class","Block class"
"Cms block ID","Cms block ID"
"Clear Log","Clear Log"
Built-in,Built-in
Varnish,Varnish
Unknown,Unknown
"The following CLI commands are available: <br/>bin/magento fpc:warmer:generate <br/>bin/magento fpc:warmer:process","The following CLI commands are available: <br/>bin/magento fpc:warmer:generate <br/>bin/magento fpc:warmer:process"
"Warmed Pages","Warmed Pages"
"Efficiency Report","Efficiency Report"
"Status Codes","Status Codes"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
Undefined,Undefined
"Cache Hit","Cache Hit"
"Cache Miss","Cache Miss"
Ignored,Ignored
"Activity log has been successfully cleared.","Activity log has been successfully cleared."
System,System
"Warmer Activity Log","Warmer Activity Log"
"Cache flushes log has been successfully cleared.","Cache flushes log has been successfully cleared."
"Cache Flushes Log","Cache Flushes Log"
"Logs was successfully removed.","Logs was successfully removed."
"Warmer log has been successfully cleared.","Warmer log has been successfully cleared."
"Page has been flushed","Page has been flushed"
"An error has occurred","An error has occurred"
"Warmer Log","Warmer Log"
"%1 page(s) has been successfully flushed","%1 page(s) has been successfully flushed"
"%1 page(s) has been failed to flush","%1 page(s) has been failed to flush"
"Warmer queue has been successfully generated for %1 URLs.","Warmer queue has been successfully generated for %1 URLs."
"Warmer queue was disturbed by another process","Warmer queue was disturbed by another process"
"Warmer Queue","Warmer Queue"
"First batch of warmer queue has been successfully processed.","First batch of warmer queue has been successfully processed."
"Unlocked successfully!","Unlocked successfully!"
Reports,Reports
"Unknown status code","Unknown status code"
"NOT LOGGED IN","NOT LOGGED IN"
"Home Page","Home Page"
"CMS pages","CMS pages"
"Product pages","Product pages"
"Category pages","Category pages"
"Pages Types","Pages Types"
"Text file with one link per line","Text file with one link per line"
"Sitemap XML","Sitemap XML"
"Sitemap XML and Text File together","Sitemap XML and Text File together"
"Customers Activity Source","Customers Activity Source"
"Already cached","Already cached"
"Can't get a file lock for queue generation process $1","Can't get a file lock for queue generation process $1"
"Can't get a file lock for queue processing process $1","Can't get a file lock for queue processing process $1"
"Another lock detected (the Warmer queue is in a progress).","Another lock detected (the Warmer queue is in a progress)."
"Combine is selected as source: ","Combine is selected as source: "
"File is selected as source: ","File is selected as source: "
"Sitemap XML is selected as source: ","Sitemap XML is selected as source: "
"Activity is selected as source: ","Activity is selected as source: "
"but source is empty","but source is empty"
"Unable to save activity with ID %1. Error: %2","Unable to save activity with ID %1. Error: %2"
"Unable to save new activity. Error: %1","Unable to save new activity. Error: %1"
"Activity with specified ID ""%1"" not found.","Activity with specified ID ""%1"" not found."
"Unable to remove activity with ID %1. Error: %2","Unable to remove activity with ID %1. Error: %2"
"Unable to remove activity. Error: %1","Unable to remove activity. Error: %1"
"Unable to save log with ID %1. Error: %2","Unable to save log with ID %1. Error: %2"
"Unable to remove log with ID %1. Error: %2","Unable to remove log with ID %1. Error: %2"
"Unable to remove log. Error: %1","Unable to remove log. Error: %1"
"but file does not exist with specified path: %1","but file does not exist with specified path: %1"
"but Amasty Crawler could not parse this file: %1","but Amasty Crawler could not parse this file: %1"
"but this file is empty: %1","but this file is empty: %1"
"but the Sitemap XML file does not exist with specified path: %1","but the Sitemap XML file does not exist with specified path: %1"
"but Amasty Crawler could not parse the Sitemap XML file: %1","but Amasty Crawler could not parse the Sitemap XML file: %1"
"Amasty Crawler could not parse the following URL from the Sitemap XML file: %1","Amasty Crawler could not parse the following URL from the Sitemap XML file: %1"
"The following file from the Sitemap XML file does not exist: %1","The following file from the Sitemap XML file does not exist: %1"
"Amasty Crawler could not parse the following file from the Sitemap XML file: %1","Amasty Crawler could not parse the following file from the Sitemap XML file: %1"
"but Amasty Crawler could not extract any URL from the Sitemap XML file: %1","but Amasty Crawler could not extract any URL from the Sitemap XML file: %1"
"Can not save activity due the generation of queue by Warmer ""
                . ""because the Customers Activity selected as source.","Can not save activity due the generation of queue by Warmer ""
                . ""because the Customers Activity selected as source."
[Default],[Default]
Enabled,Enabled
"Page Type","Page Type"
"Sort Option","Sort Option"
"Cache Coverage Rate (for the last ","Cache Coverage Rate (for the last "
Hits,Hits
"Cache Type: ","Cache Type: "
"Cache TTL: ","Cache TTL: "
"Crawler Progress","Crawler Progress"
"In Cache ","In Cache "
"Pending ","Pending "
Period:,Period:
Day,Day
Week,Week
Month,Month
Reload,Reload
"Not cacheable blocks","Not cacheable blocks"
Hit,Hit
Miss,Miss
Warmed,Warmed
"Response Time / ms","Response Time / ms"
"Hit Response Time / ms","Hit Response Time / ms"
"Miss Response Time / ms","Miss Response Time / ms"
"Hits / %","Hits / %"
"Misses / %","Misses / %"
"Full Page Cache Warmer","Full Page Cache Warmer"
Information,Information
General,General
"Enable Extension","Enable Extension"
"Auto-update Cache upon the Product Changes","Auto-update Cache upon the Product Changes"
"Adds product pages urls to the Warmer Queue upon the product edit","Adds product pages urls to the Warmer Queue upon the product edit"
"Auto-generate Queue after Cache Flush","Auto-generate Queue after Cache Flush"
"Set to yes to automatically generate warmer queue after cache flushing","Set to yes to automatically generate warmer queue after cache flushing"
"Enable Cache Flushes Logging","Enable Cache Flushes Logging"
"Exclude Classes from Log","Exclude Classes from Log"
"Please specify classes that are not expected to be logged in cache flushes log.","Please specify classes that are not expected to be logged in cache flushes log."
"Enable Customers' Activity Log","Enable Customers' Activity Log"
"Source and Priority","Source and Priority"
"Queue Generation Source","Queue Generation Source"
"The queue for warming up will be created according to the chosen source","The queue for warming up will be created according to the chosen source"
"<strong>Pages and Priority</strong> - you can choose which pages should be warmed by their types.
                     Drag and drop pages to prioritize pages for the warming queue depending on their importance.<br/>
                    <strong>Text file with one link per line</strong> - you can use a custom text file with a list of links to be crawled (one link per line).<br/>
                    <strong>Sitemap XML</strong> - only URLs represented in the sitemap will be warmed up. The option requires a valid XML sitemap located in your
                    Magento 2 root folder. Also, set the relative path to the Sitemap XML file on your server.<br/>
                    <strong>Sitemap XML and Text File Together</strong> - sometimes it's not enough to warm up URLs from a Sitemap XML only.
                    By using the option you can add a text file with URLs to be warmed up together with the ones from the Sitemap. <br/>
                    <strong>Customers Activity Source</strong> - a list of URLs for warming up will be created according to the Customers Activity Log.
                    It means that the most popular URLs will be at the top of the queue. While the least will be at the bottom.","<strong>Pages and Priority</strong> - you can choose which pages should be warmed by their types.
                     Drag and drop pages to prioritize pages for the warming queue depending on their importance.<br/>
                    <strong>Text file with one link per line</strong> - you can use a custom text file with a list of links to be crawled (one link per line).<br/>
                    <strong>Sitemap XML</strong> - only URLs represented in the sitemap will be warmed up. The option requires a valid XML sitemap located in your
                    Magento 2 root folder. Also, set the relative path to the Sitemap XML file on your server.<br/>
                    <strong>Sitemap XML and Text File Together</strong> - sometimes it's not enough to warm up URLs from a Sitemap XML only.
                    By using the option you can add a text file with URLs to be warmed up together with the ones from the Sitemap. <br/>
                    <strong>Customers Activity Source</strong> - a list of URLs for warming up will be created according to the Customers Activity Log.
                    It means that the most popular URLs will be at the top of the queue. While the least will be at the bottom."
"Pages and Priority","Pages and Priority"
"You can remove a page type from warming up queue by removing the tick from a checkbox.
                        Set page types to be warmed up first by drag and'dropping it to the top of the list.","You can remove a page type from warming up queue by removing the tick from a checkbox.
                        Set page types to be warmed up first by drag and'dropping it to the top of the list."
"Queue Links File Path","Queue Links File Path"
"Please, set the relative path to the file on your server. <br/>Example: var/tmp/queue_links.txt","Please, set the relative path to the file on your server. <br/>Example: var/tmp/queue_links.txt"
"Sitemap XML File Path","Sitemap XML File Path"
"Please, set the relative path to the Sitemap XML file on your server. <br/>Example: sitemaps/sitemap.xml","Please, set the relative path to the Sitemap XML file on your server. <br/>Example: sitemaps/sitemap.xml"
"Performance Settings","Performance Settings"
"Enable Multi-Process Warming","Enable Multi-Process Warming"
"Number of Parallel Processes","Number of Parallel Processes"
"Queue Generation Schedule","Queue Generation Schedule"
"Enter cron expression<br/>
                        <br/>
                        * * * * *<br/>
                        | | | | |<br/>
                        | | | | +---- Day of the Week   (range: 0-6, 1 standing for Monday)<br/>
                        | | | +------ Month of the Year (range: 1-12)<br/>
                        | | +-------- Day of the Month  (range: 1-31)<br/>
                        | +---------- Hour              (range: 0-23)<br/>
                        +------------ Minute            (range: 0-59)<br/>
                        Example: 0 */12 * * * - every twelve hours<br/>
                        <br/>
                        Read more about cron expressions - <a href=""https://en.wikipedia.org/wiki/Cron"">here</a>","Enter cron expression<br/>
                        <br/>
                        * * * * *<br/>
                        | | | | |<br/>
                        | | | | +---- Day of the Week   (range: 0-6, 1 standing for Monday)<br/>
                        | | | +------ Month of the Year (range: 1-12)<br/>
                        | | +-------- Day of the Month  (range: 1-31)<br/>
                        | +---------- Hour              (range: 0-23)<br/>
                        +------------ Minute            (range: 0-59)<br/>
                        Example: 0 */12 * * * - every twelve hours<br/>
                        <br/>
                        Read more about cron expressions - <a href=""https://en.wikipedia.org/wiki/Cron"">here</a>"
"Queue Max Size","Queue Max Size"
"Set the maximum number of pages in the Warmer Queue","Set the maximum number of pages in the Warmer Queue"
"Single Batch Size","Single Batch Size"
"The number of page URLs that will be processed at a single cron run. Default value is: 50","The number of page URLs that will be processed at a single cron run. Default value is: 50"
"Warmer Schedule","Warmer Schedule"
"Enter cron expression<br/>
                        <br/>
                        * * * * *<br/>
                        | | | | |<br/>
                        | | | | +---- Day of the Week   (range: 0-6, 1 standing for Monday)<br/>
                        | | | +------ Month of the Year (range: 1-12)<br/>
                        | | +-------- Day of the Month  (range: 1-31)<br/>
                        | +---------- Hour              (range: 0-23)<br/>
                        +------------ Minute            (range: 0-59)<br/>
                        Example: */5 * * * * - every five minuts<br/>
                        <br/>
                        Read more about cron expressions - <a href=""https://en.wikipedia.org/wiki/Cron"">here</a>","Enter cron expression<br/>
                        <br/>
                        * * * * *<br/>
                        | | | | |<br/>
                        | | | | +---- Day of the Week   (range: 0-6, 1 standing for Monday)<br/>
                        | | | +------ Month of the Year (range: 1-12)<br/>
                        | | +-------- Day of the Month  (range: 1-31)<br/>
                        | +---------- Hour              (range: 0-23)<br/>
                        +------------ Minute            (range: 0-59)<br/>
                        Example: */5 * * * * - every five minuts<br/>
                        <br/>
                        Read more about cron expressions - <a href=""https://en.wikipedia.org/wiki/Cron"">here</a>"
"Delay between Requests","Delay between Requests"
"Please make sure there is enough delay to keep the server load safe. Default value is: 300 (milliseconds)","Please make sure there is enough delay to keep the server load safe. Default value is: 300 (milliseconds)"
"Log Size","Log Size"
"Set the maximum number of lines in the log table","Set the maximum number of lines in the log table"
"Page Combinations","Page Combinations"
"Warm Pages per Customer Groups","Warm Pages per Customer Groups"
"Customer Groups","Customer Groups"
"""General"" customer group is used by default even if nothing is selected","""General"" customer group is used by default even if nothing is selected"
"Warm Pages per Currencies","Warm Pages per Currencies"
Currencies,Currencies
"Default currency is used by default even if nothing is selected","Default currency is used by default even if nothing is selected"
"Warm Pages per Stores","Warm Pages per Stores"
Stores,Stores
"Default store view is used by default even if nothing is selected","Default store view is used by default even if nothing is selected"
"Exclude Pages","Exclude Pages"
"Add the regular expressions to exclude pages from warm up<br/>\? - pages with GET param","Add the regular expressions to exclude pages from warm up<br/>\? - pages with GET param"
"Process Mobile View","Process Mobile View"
"The feature should be used if a separate mobile theme is installed on your Magento","The feature should be used if a separate mobile theme is installed on your Magento"
"Mobile Agent","Mobile Agent"
"This text will be sent as header on mobile request","This text will be sent as header on mobile request"
"User Agents","User Agents"
"FPC Hole Punch","FPC Hole Punch"
"Hole Punch","Hole Punch"
"Please refresh cache to apply changes. Please note, that not all blocks can be excluded due to Magento restrictions.","Please refresh cache to apply changes. Please note, that not all blocks can be excluded due to Magento restrictions."
"Connection Settings","Connection Settings"
"Use HTTP Authentication","Use HTTP Authentication"
"Use when website is protected with .htaccess","Use when website is protected with .htaccess"
Login,Login
Password,Password
"Disable Certificate Verification","Disable Certificate Verification"
"Enable this only if FPC warmer doesn't work for https","Enable this only if FPC warmer doesn't work for https"
Debug,Debug
"Show Cache Status","Show Cache Status"
"Show Cache Status Only For","Show Cache Status Only For"
"Enter IP addresses comma separated","Enter IP addresses comma separated"
Url,Url
"Number of Visits","Number of Visits"
"Store View","Store View"
Status,Status
Mobile,Mobile
Delete,Delete
"Delete Log","Delete Log"
"Are you sure you want to delete selected log items?","Are you sure you want to delete selected log items?"
ID,ID
Details,Details
Date,Date
Backtrace,Backtrace
"Flush Cache","Flush Cache"
Currency,Currency
"Customer Group","Customer Group"
Rate,Rate
Time,Time
"Generate queue","Generate queue"
"Start Warm Up","Start Warm Up"
Date/Time,Date/Time
Visits,Visits
